ProductID,ProductName,Category,Price,Rating,Availability,ReleaseYear
1,Product 173,Toys & Games,439.5,2.1,Out of Stock,2021
2,Product 48,Fashion,493.22,1.6,Backorder,2015
3,Product 118,Electronics,439.96,1.4,In Stock,2021
4,Product 193,Electronics,433.14,1.1,Backorder,2016
5,Product 324,Home & Kitchen,385.53,1.2,Backorder,2017
6,Product 252,Fashion,494.39,3.0,In Stock,2018
7,Product 196,Electronics,39.69,1.5,Out of Stock,2016
8,Product 360,Home & Kitchen,353.83,1.7,Backorder,2022
9,Product 10,Electronics,375.1,4.9,Out of Stock,2018
10,Product 212,Fashion,245.39,1.7,Backorder,2020
11,Product 278,Fashion,482.19,1.3,Backorder,2019
12,Product 243,Home & Kitchen,344.57,3.6,In Stock,2017
13,Product 293,Fashion,248.97,2.8,Out of Stock,2016
14,Product 88,Home & Kitchen,271.76,2.1,Out of Stock,2020
15,Product 71,Fashion,440.82,4.5,Out of Stock,2019
16,Product 473,Toys & Games,256.7,4.6,Out of Stock,2022
17,Product 89,Home & Kitchen,305.21,3.1,Backorder,2018
18,Product 397,Toys & Games,434.77,4.6,In Stock,2016
19,Product 315,Fashion,298.39,3.8,Backorder,2017
20,Product 194,Beauty & Personal Care,461.95,4.2,Backorder,2022
21,Product 487,Fashion,144.73,3.0,In Stock,2022
22,Product 40,Beauty & Personal Care,201.56,1.5,Backorder,2015
23,Product 88,Fashion,71.06,1.3,Out of Stock,2019
24,Product 175,Home & Kitchen,154.44,2.4,Backorder,2020
25,Product 89,Electronics,298.96,4.6,Backorder,2015
26,Product 338,Home & Kitchen,376.01,2.0,Out of Stock,2019
27,Product 166,Beauty & Personal Care,95.33,2.5,Backorder,2016
28,Product 26,Fashion,44.23,4.2,Out of Stock,2018
29,Product 334,Fashion,253.73,2.2,Backorder,2022
30,Product 73,Fashion,233.74,1.2,Backorder,2020
31,Product 266,Electronics,238.38,3.8,Out of Stock,2015
32,Product 405,Electronics,195.1,2.1,Backorder,2019
33,Product 116,Home & Kitchen,34.49,2.6,Out of Stock,2021
34,Product 465,Home & Kitchen,341.86,3.1,In Stock,2015
35,Product 244,Beauty & Personal Care,81.19,2.5,In Stock,2017
36,Product 198,Electronics,170.67,3.3,Out of Stock,2021
37,Product 336,Toys & Games,422.88,2.9,In Stock,2015
38,Product 432,Home & Kitchen,466.55,1.7,In Stock,2018
39,Product 449,Toys & Games,67.36,1.9,In Stock,2020
